,0
791,5
792,71
793,56
794,16
795,124
796,2
797,9
798,16
799,6
800,158
801,30
802,30
803,207
804,13
805,9
806,8
807,12
808,40
809,85
810,20
811,37
812,33
813,32
814,245
815,12
816,26
817,35
818,11
819,8
820,6
821,30
822,12
823,37
824,50
825,27
826,25
827,8
828,4
829,14
830,6
831,14
832,33
833,11
834,21
835,21
836,7
837,18
838,94
839,46
840,32
841,30
842,65
843,17
844,26
845,14
846,18
847,25
848,85
849,39
850,29
851,16
852,1
853,8
854,26
855,31
856,9
857,2
858,18
859,16
860,1
861,1
862,5
863,24
864,45
865,81
866,75
867,62
868,79
869,71
870,16
871,19
872,4
873,18
874,3
875,10
876,19
877,7
878,424
879,169
880,145
881,2
882,18
883,88
884,140
885,69
886,142
887,12
888,18
889,52
890,18
891,25
892,1
893,13
894,29
895,6
896,9
897,17
898,43
899,59
900,33
901,35
902,16
903,8
904,33
905,50
906,31
907,37
908,5
909,11
910,30
911,15
912,73
913,22
914,8
915,16
916,7
917,6
918,9
919,20
920,7
921,2
922,17
923,13
924,18
925,9
926,13
927,16
928,25
929,16
930,24
931,264
932,130
933,18
934,9
935,35
936,197
937,190
938,224
939,123
940,172
941,155
942,121
943,261
944,49
945,109
946,93
947,95
948,287
949,239
950,178
951,463
952,168
953,209
954,331
955,388
956,66
957,363
958,221
959,84
960,63
961,139
962,81
963,53
964,54
965,69
966,104
967,17
968,16
969,5
970,13
971,72
972,5
973,12
974,3
975,6
976,15
977,7
978,3
979,31
980,71
981,13
982,18
983,1
984,4
985,12
986,94
987,8
988,71
989,13
990,2
991,55
992,35
993,22
994,34
995,21
996,10
997,30
998,81
999,84
1000,130
1001,49
1002,117
1003,137
1004,168
1005,197
1006,68
1007,386
1008,160
1009,354
1010,136
1011,160
1012,441
1013,21
1014,33
1015,3
1016,11
1017,9
1018,13
1019,6
1020,32
1021,4
1022,35
1023,17
1024,14
1025,29
1026,24
1027,19
1028,52
1029,21
1030,16
1031,11
1032,1
1033,18
1034,14
1035,16
1036,1
1037,6
1038,6
1039,12
1040,11
1041,25
1042,23
1043,25
1044,3
1045,3
1046,121
1047,62
1048,236
1049,265
1050,244
1051,475
1052,110
1053,433
1054,294
1055,97
1056,448
1057,87
1058,147
1059,1133
1060,488
1061,1058
1062,622
1063,1524
1064,1824
1065,558
1066,619
1067,2133
1068,153
1069,1424
1070,1676
1071,4
1072,243
1073,57
1074,82
1075,30
1076,11
1077,3
1078,199
1079,11
1080,101
1081,45
1082,29
1083,20
1084,105
1085,103
1086,182
1087,84
1088,249
1089,261
1090,518
1091,609
1092,470
